,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.app.video.low_bandwidth_quality,{{name}}'s video quality is lowered due to low bandwidth.,{{name}}'s video quality is lowered due to low bandwidth.,{{name}} کی ویڈیو کا معیار کم بینڈوڈتھ کی وجہ سے کم کر دیا گیا ہے۔,Calitatea video a lui {{name}} este redusă din cauza lățimii de bandă scăzute.,کیفیت ویدئوی {{name}} به دلیل پهنای باند کم کاهش یافته است.,La qualité vidéo de {{name}} est réduite en raison d'une faible bande passante.,कम बैंडविड्थ के कारण {{name}} का वीडियो गुणवत्ता कम हो गई है।,تم تخفيض جودة الفيديو لـ{{name}} بسبب انخفاض عرض النطاق الترددي.,{{name}} ਦੀ ਵੀਡੀਓ ਗੁਣਵੱਤਾ ਘੱਟ ਬੈਂਡਵਿਡਥ ਕਾਰਨ ਘਟਾਈ ਗਈ ਹੈ।,La calidad de video de {{name}} se ha reducido debido a un ancho de banda bajo.,Die Videoqualität von {{name}} ist aufgrund niedriger Bandbreite reduziert.,{{name}}のビデオ品質は低帯域幅のため低下しています。,{{name}}의 비디오 품질이 낮은 대역폭으로 인해 저하되었습니다.,Якість відео {{name}} знижена через низьку пропускну здатність.,د {{name}} د ویډیو کیفیت د ټیټې بینډ ویت له امله ټیټ شوی دی.,由于带宽不足，{{name}}的视频质量降低。
label.text.signin,Sign In,Sign In,سائن ان کریں,Conectare,ورود,Se connecter,साइन इन करें,تسجيل الدخول,ਸਾਈਨ ਇਨ,Iniciar Sesión,Anmelden,サインイン,로그인,Увійти,ننوتل,登录
pie.app.starttest.failed,Unable to start the test. Please try again later.,Unable to start the test. Please try again later.,ٹیسٹ شروع کرنے سے قاصر۔ براہ کرم بعد میں دوبارہ کوشش کریں۔,Nu se poate începe testul. Vă rugăm să încercați din nou mai târziu.,قادر به شروع آزمون نیست. لطفاً بعداً دوباره تلاش کنید.,Impossible de démarrer le test. Veuillez réessayer plus tard.,परीक्षा शुरू करने में असमर्थ। कृपया बाद में पुनः प्रयास करें।,غير قادر على بدء الاختبار. يرجى المحاولة مرة أخرى لاحقًا.,ਟੈਸਟ ਸ਼ੁਰੂ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,"No se puede iniciar la prueba. Por favor, inténtalo de nuevo más tarde.",Test konnte nicht gestartet werden. Bitte versuchen Sie es später erneut.,テストを開始できません。後でもう一度お試しください。,테스트를 시작할 수 없습니다. 나중에 다시 시도하세요.,"Не вдалося розпочати тест. Будь ласка, спробуйте пізніше.",ازموینه پیل نشوه. مهرباني وکړئ وروسته بیا هڅه وکړئ.,无法开始测试。请稍后再试。
pie.error.use_laptop,Kindly use laptop/desktop to access this course,Kindly use laptop/desktop to access this course,براہ کرم اس کورس تک رسائی کے لیے لیپ ٹاپ/ڈیسک ٹاپ استعمال کریں,Vă rugăm să folosiți un laptop/desktop pentru a accesa acest curs.,لطفاً برای دسترسی به این دوره از لپ‌تاپ/رایانه رومیزی استفاده کنید.,Veuillez utiliser un ordinateur portable/ordinateur de bureau pour accéder à ce cours,कृपया इस कोर्स को एक्सेस करने के लिए लैपटॉप/डेस्कटॉप का उपयोग करें,يرجى استخدام الكمبيوتر المحمول/المكتبي للوصول إلى هذه الدورة,ਕਿਰਪਾ ਕਰਕੇ ਇਸ ਕੋਰਸ ਤੱਕ ਪਹੁੰਚ ਲਈ ਲੈਪਟਾਪ/ਡੈਸਕਟਾਪ ਦੀ ਵਰਤੋਂ ਕਰੋ,"Por favor, utiliza una laptop/escritorio para acceder a este curso","Bitte verwenden Sie einen Laptop/Desktop, um auf diesen Kurs zuzugreifen",このコースにアクセスするにはラップトップ/デスクトップを使用してください,이 코스를 이용하려면 노트북/데스크톱을 사용하세요.,"Будь ласка, використовуйте ноутбук/настільний комп'ютер для доступу до цього курсу",مهرباني وکړئ د دې کورس د لاسرسي لپاره لپټاپ/ډیسټاپ وکاروئ,请使用笔记本电脑/台式机访问此课程。
label.text.access_bundle,Access Bundle,Access Bundle,رسائی بنڈل,Pachet de Acces,بسته دسترسی,Accéder au pack,बंडल एक्सेस करें,الوصول إلى الحزمة,ਬੰਡਲ ਤੱਕ ਪਹੁੰਚ,Acceder al Paquete,Paketzugriff,バンドルにアクセス,번들 액세스,Доступ до пакету,بسته لاسرسی,访问捆绑包
pie.course.ilc.materials.conversion_in_process,Conversion still in process,Conversion still in process,تبدیلی ابھی بھی جاری ہے,Conversia este încă în desfășurare,تبدیل هنوز در حال انجام است,Conversion toujours en cours,रूपांतरण अभी भी प्रक्रिया में है,التحويل لا يزال قيد المعالجة,ਤਬਦੀਲੀ ਅਜੇ ਵੀ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਹੈ,Conversión aún en proceso,Umwandlung noch im Prozess,変換はまだ処理中です,변환이 아직 진행 중입니다.,Конвертація ще триває,تبدیل لا هم په پروسه کې دی,转换仍在进行中
clientapp.login,Login,Login,لاگ ان کریں,Autentificare,ورود,Connexion,लॉगिन,تسجيل الدخول,ਲੌਗਇਨ,Iniciar Sesión,Einloggen,ログイン,로그인,Вхід,ننوتل,登录
pie.bundle.message.course_expiry_note,This bundle can be accessed until {{expiryDate}}.,This bundle can be accessed until {{expiryDate}}.,اس بنڈل تک {{expiryDate}} تک رسائی حاصل کی جا سکتی ہے۔,Acest pachet poate fi accesat până la {{expiryDate}}.,این بسته تا {{expiryDate}} قابل دسترسی است.,Ce pack peut être accessible jusqu'au {{expiryDate}}.,यह बंडल {{expiryDate}} तक एक्सेस किया जा सकता है।,يمكن الوصول إلى هذه الحزمة حتى {{expiryDate}}.,ਇਸ ਬੰਡਲ ਤੱਕ {{expiryDate}} ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।,Este paquete puede ser accedido hasta {{expiryDate}}.,Dieses Paket ist bis {{expiryDate}} zugänglich.,このバンドルは{{expiryDate}}までアクセス可能です。,이 번들은 {{expiryDate}}까지 액세스할 수 있습니다.,Цей пакет можна буде використовувати до {{expiryDate}}.,دا بسته تر {{expiryDate}} پورې لاسرسی کیدی شي.,此捆绑包可以访问至{{expiryDate}}。
pie.common.network.unavailable_waiting,Network unavailable. Waiting for connection,Network unavailable. Waiting for connection,نیٹ ورک دستیاب نہیں ہے۔ کنکشن کا انتظار کر رہے ہیں,Rețea indisponibilă. Așteptare pentru conexiune,شبکه در دسترس نیست. در انتظار اتصال,Réseau indisponible. En attente de connexion,नेटवर्क अनुपलब्ध। कनेक्शन की प्रतीक्षा कर रहे हैं,الشبكة غير متوفرة. في انتظار الاتصال,ਨੈੱਟਵਰਕ ਉਪਲਬਧ ਨਹੀਂ ਹੈ। ਕਨੈਕਸ਼ਨ ਦੀ ਉਡੀਕ ਕਰ ਰਹੇ ਹਾਂ,Red no disponible. Esperando conexión,Netzwerk nicht verfügbar. Warte auf Verbindung,ネットワークが利用できません。接続を待っています,네트워크가 사용 불가능합니다. 연결을 기다리는 중,Мережа недоступна. Очікування з'єднання,شبکه شتون نلري. د اړیکې لپاره انتظار وکړئ,网络不可用。等待连接。
content.session_not_conducted,Please contact your trainer for further clarification.,Please contact your trainer for further clarification.,مزید وضاحت کے لیے براہ کرم اپنے ٹرینر سے رابطہ کریں۔,Vă rugăm să contactați antrenorul dumneavoastră pentru clarificări suplimentare.,لطفاً برای توضیحات بیشتر با مربی خود تماس بگیرید.,Veuillez contacter votre formateur pour plus de précisions.,कृपया अधिक स्पष्टीकरण के लिए अपने प्रशिक्षक से संपर्क करें।,يرجى الاتصال بمدربك لمزيد من التوضيح.,ਕਿਰਪਾ ਕਰਕੇ ਹੋਰ ਸਪਸ਼ਟੀਕਰਨ ਲਈ ਆਪਣੇ ਟ੍ਰੇਨਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,"Por favor, contacta a tu entrenador para más aclaraciones.",Bitte kontaktieren Sie Ihren Trainer für weitere Klarstellungen.,詳細についてはトレーナーにお問い合わせください。,추가 설명이 필요하면 트레이너에게 문의하세요.,"Будь ласка, зверніться до вашого тренера для подальших роз'яснень.",مهرباني وکړئ د نورو وضاحت لپاره له خپل روزونکي سره اړیکه ونیسئ.,请联系您的培训师以获得进一步的说明。
pie.pricing.part_payment.totalTerms,Terms,Terms,شرائط,Termeni,شرایط,Conditions,शर्तें,الشروط,ਸ਼ਰਤਾਂ,Términos,Bedingungen,利用規約,이용 약관,Умови,شرایط,条款
pie.common.courseform.enter.details,Enter your details,Enter your details,اپنی تفصیلات درج کریں,Introduceți detaliile dumneavoastră,جزئیات خود را وارد کنید,Entrez vos coordonnées,अपनी जानकारी दर्ज करें,أدخل تفاصيلك,ਆਪਣੇ ਵੇਰਵੇ ਦਰਜ ਕਰੋ,Introduce tus datos,Geben Sie Ihre Daten ein,詳細を入力してください,세부 정보를 입력하세요.,Введіть ваші дані,خپل معلومات دننه کړئ,输入您的详细信息
pie.app.requestaccepted,Trainer has accepted your request,Trainer has accepted your request,ٹرینر نے آپ کی درخواست قبول کر لی ہے,Antrenorul a acceptat cererea ta,مربی درخواست شما را پذیرفته است,Le formateur a accepté votre demande,प्रशिक्षक ने आपकी अनुरोध स्वीकार कर लिया है,قبل المدرب طلبك,ਟ੍ਰੇਨਰ ਨੇ ਤੁਹਾਡੀ ਬੇਨਤੀ ਸਵੀਕਾਰ ਕੀਤੀ ਹੈ,El entrenador ha aceptado tu solicitud,Der Trainer hat Ihre Anfrage angenommen,トレーナーがあなたのリクエストを承認しました,트레이너가 요청을 수락했습니다.,Тренер прийняв ваш запит,روزونکي ستاسو غوښتنه منلې ده,培训师已接受您的请求。
pie.broadcast.micOFF,Mic off,Mic off,مائیک بند,Microfon oprit,میکروفون خاموش,Micro éteint,माइक बंद,الميكروفون مغلق,ਮਾਈਕ ਬੰਦ,Micrófono apagado,Mikrofon aus,マイクオフ,마이크 꺼짐,Мікрофон вимкнено,میکروفون بند,麦克风关闭
pie.broadcast.off,OFF,OFF,بند,Oprit,خاموش,ÉTEINT,बंद,إيقاف,ਬੰਦ,APAGADO,AUS,オフ,꺼짐,ВИМКНЕНО,بند,关闭
site.content.lesson.about,About lesson,About lesson,سبق کے بارے میں,Despre lecție,درباره درس,À propos de la leçon,पाठ के बारे में,حول الدرس,ਪਾਠ ਬਾਰੇ,Acerca de la lección,Über die Lektion,レッスンについて,수업 정보,Про урок,د درس په اړه,关于课程
pie.whiteboard.edit_access,Edit Access,Edit Access,رسائی میں ترمیم کریں,Acces de editare,دسترسی ویرایش,Modifier l'accès,संपादन पहुंच,تحرير الوصول,ਸੰਪਾਦਨ ਪਹੁੰਚ,Editar Acceso,Zugriff bearbeiten,アクセスを編集,편집 권한,Редагувати доступ,د لاسرسي سمون,编辑权限
label.reasonForCancellation,Reason for cancellation,Reason for cancellation,منسوخی کی وجہ,Motivul anulării,دلیل لغو,Raison de l'annulation,रद्द करने का कारण,سبب الإلغاء,ਰੱਦ ਕਰਨ ਦਾ ਕਾਰਨ,Razón de la cancelación,Grund für die Stornierung,キャンセルの理由,취소 사유,Причина скасування,د لغوه کولو دلیل,取消原因
pie.breakout.joinGroup,Join room,Join room,کمرے میں شامل ہوں,Alătură-te camerei,پیوستن به اتاق,Rejoindre la salle,कमरे में शामिल हों,انضم إلى الغرفة,ਕਮਰੇ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਵੋ,Unirse a la sala,Raum beitreten,ルームに参加,방 참여,Приєднатися до кімнати,خونه کې ګډون وکړئ,加入房间
label.Requested.access.rejected,Requested access rejected,Requested access rejected,درخواست کردہ رسائی مسترد کر دی گئی,Accesul solicitat a fost respins.,دسترسی درخواست شده رد شد,Demande d'accès rejetée,अनुरोधित पहुंच अस्वीकृत,تم رفض طلب الوصول,ਬੇਨਤੀ ਕੀਤੀ ਪਹੁੰਚ ਅਸਵੀਕਾਰ ਕੀਤੀ ਗਈ,Solicitud de acceso rechazada,Angeforderter Zugriff abgelehnt,要求されたアクセスが拒否されました,요청한 액세스가 거부되었습니다.,Запит на доступ відхилено,غوښتل شوی لاسرسی رد شو,请求的访问被拒绝
pie.broadcast.error.ice_kindly_check_below,You can try any of the following below to fix this problem,You can try any of the following below to fix this problem,آپ اس مسئلے کو حل کرنے کے لیے نیچے دیے گئے کسی بھی طریقے کو آزما سکتے ہیں,Poți încerca oricare dintre următoarele pentru a rezolva această problemă,شما می‌توانید هر یک از موارد زیر را برای حل این مشکل امتحان کنید.,Vous pouvez essayer l'une des solutions ci-dessous pour résoudre ce problème,इस समस्या को ठीक करने के लिए आप नीचे दिए गए किसी भी विकल्प को आजमा सकते हैं,يمكنك تجربة أي من الخيارات التالية لحل هذه المشكلة,ਇਸ ਸਮੱਸਿਆ ਨੂੰ ਠੀਕ ਕਰਨ ਲਈ ਤੁਸੀਂ ਹੇਠਾਂ ਦਿੱਤੇ ਕਿਸੇ ਵੀ ਵਿਕਲਪ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰ ਸਕਦੇ ਹੋ,Puedes intentar cualquiera de las siguientes opciones para solucionar este problema,"Sie können eines der folgenden Dinge ausprobieren, um dieses Problem zu beheben",この問題を解決するために以下のいずれかを試すことができます,이 문제를 해결하기 위해 아래의 방법을 시도할 수 있습니다.,"Ви можете спробувати будь-який з наведених нижче способів, щоб вирішити цю проблему",تاسو کولی شئ د دې ستونزې د حل لپاره لاندې کوم یو هڅه وکړئ,您可以尝试以下任何方法来解决此问题。
pie.accessReq.tooltip.cam.turnoff.bypresenter,Trainer has turned off your camera.,Trainer has turned off your camera.,ٹرینر نے آپ کا کیمرہ بند کر دیا ہے۔,Antrenorul a oprit camera ta.,مربی دوربین شما را خاموش کرده است.,Le formateur a désactivé votre caméra.,प्रशिक्षक ने आपका कैमरा बंद कर दिया है।,قام المدرب بإيقاف الكاميرا الخاصة بك.,ਟ੍ਰੇਨਰ ਨੇ ਤੁਹਾਡਾ ਕੈਮਰਾ ਬੰਦ ਕਰ ਦਿੱਤਾ ਹੈ।,El entrenador ha apagado tu cámara.,Der Trainer hat Ihre Kamera ausgeschaltet.,トレーナーがあなたのカメラをオフにしました。,트레이너가 카메라를 껐습니다.,Тренер вимкнув вашу камеру.,روزونکي ستاسو کمره بنده کړې ده.,培训师已关闭您的摄像头。
pie.app.external.links,External links,External links,بیرونی لنکس,Linkuri externe,پیوندهای خارجی,Liens externes,बाहरी लिंक,روابط خارجية,ਬਾਹਰੀ ਲਿੰਕ,Enlaces externos,Externe Links,外部リンク,외부 링크,Зовнішні посилання,بهرني لینکونه,外部链接
pie.session.hosted_by,Hosted by,Hosted by,میزبان,Găzduit de,میزبانی شده توسط,Animé par,द्वारा होस्ट किया गया,مستضاف بواسطة,ਦੁਆਰਾ ਹੋਸਟ ਕੀਤਾ ਗਿਆ,Organizado por,Gehostet von,主催者,주최자,Організатор,کوربه شوی,由...主持
pie.test.correct.answer,Correct answers,Correct answers,صحیح جوابات,Răspunsuri corecte,پاسخ‌های صحیح,Réponses correctes,सही उत्तर,إجابات صحيحة,ਸਹੀ ਜਵਾਬ,Respuestas correctas,Richtige Antworten,正解,정답,Правильні відповіді,سم ځوابونه,正确答案
pie.common.courses,Courses,Courses,کورسز,Cursuri,دوره‌ها,Cours,पाठ्यक्रम,الدورات,ਕੋਰਸ,Cursos,Kurse,コース,코스,Курси,کورسونه,课程
pie.broadcast.share_comp_audio,Share computer audio,Share computer audio,کمپیوٹر آڈیو شیئر کریں,Partajează sunetul computerului,«به اشتراک‌گذاری صدای کامپیوتر»,Partager l'audio de l'ordinateur,कंप्यूटर ऑडियो साझा करें,مشاركة صوت الكمبيوتر,ਕੰਪਿਊਟਰ ਆਡੀਓ ਸਾਂਝਾ ਕਰੋ,Compartir audio de la computadora,Computer-Audio teilen,コンピュータの音声を共有,컴퓨터 오디오 공유,Спільний доступ до звуку комп'ютера,د کمپیوټر غږ شریک کړئ,共享计算机音频
label.text.assignmentInstructions.filesLimit,Number of materials you can submit for this assignment:,Number of materials you can submit for this assignment:,اس اسائنمنٹ کے لیے آپ کتنے مواد جمع کر سکتے ہیں:,Numărul de materiale pe care le poți trimite pentru această sarcină:,تعداد موادی که می‌توانید برای این تکلیف ارسال کنید:,Nombre de matériaux que vous pouvez soumettre pour cette tâche :,इस असाइनमेंट के लिए आप कितनी सामग्री जमा कर सकते हैं:,عدد المواد التي يمكنك تقديمها لهذا الواجب:,ਇਸ ਅਸਾਈਨਮੈਂਟ ਲਈ ਤੁਸੀਂ ਜਿੰਨੀ ਸਮੱਗਰੀ ਜਮ੍ਹਾਂ ਕਰ ਸਕਦੇ ਹੋ:,Número de materiales que puedes enviar para esta tarea:,"Anzahl der Materialien, die Sie für diese Aufgabe einreichen können:",この課題に提出できる資料の数：,이 과제를 제출할 수 있는 자료의 수:,"Кількість матеріалів, які ви можете подати для цього завдання:",د دې دندې لپاره د موادو شمېر چې تاسو یې وړاندې کولی شئ:,您可以为此作业提交的材料数量：
label.text.attend.test.lable,this test,this test,یہ ٹیسٹ,acest test,این آزمون,ce test,यह परीक्षा,هذا الاختبار,ਇਹ ਟੈਸਟ,esta prueba,dieser Test,このテスト,이 테스트,цей тест,دا ازموینه,这个测试
notify.exportuserlistnotification,Kindly wait as this report is being exported. The time taken is usually directly proportional to the number of rows (learner records) being exported. We appreciate your patience.,Kindly wait as this report is being exported. The time taken is usually directly proportional to the number of rows (learner records) being exported. We appreciate your patience.,براہ کرم انتظار کریں کیونکہ اس رپورٹ کو برآمد کیا جا رہا ہے۔ وقت کا انحصار عام طور پر برآمد ہونے والی قطاروں (سیکھنے والوں کے ریکارڈز) کی تعداد پر ہوتا ہے۔ ہم آپ کے صبر کی تعریف کرتے ہیں۔,Vă rugăm să așteptați în timp ce acest raport este exportat. Timpul necesar este de obicei direct proporțional cu numărul de rânduri (înregistrări ale cursanților) care sunt exportate. Vă apreciem răbdarea.,لطفاً صبر کنید تا این گزارش صادر شود. زمان مورد نیاز معمولاً به طور مستقیم با تعداد سطرها (سوابق یادگیرنده) که صادر می‌شوند، متناسب است. از شکیبایی شما سپاسگزاریم.,Veuillez patienter pendant que ce rapport est exporté. Le temps pris est généralement directement proportionnel au nombre de lignes (enregistrements d'apprenants) exportées. Nous apprécions votre patience.,कृपया प्रतीक्षा करें क्योंकि यह रिपोर्ट निर्यात की जा रही है। समय आमतौर पर निर्यात की जा रही पंक्तियों (शिक्षार्थी रिकॉर्ड) की संख्या के सीधे आनुपातिक होता है। हम आपके धैर्य की सराहना करते हैं।,يرجى الانتظار بينما يتم تصدير هذا التقرير. الوقت المستغرق عادة ما يكون متناسبًا طرديًا مع عدد الصفوف (سجلات المتعلمين) التي يتم تصديرها. نحن نقدر صبرك.,ਕਿਰਪਾ ਕਰਕੇ ਉਡੀਕ ਕਰੋ ਜਦੋਂ ਇਹ ਰਿਪੋਰਟ ਨਿਰਯਾਤ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ। ਲਏ ਜਾਣ ਵਾਲੇ ਸਮੇਂ ਦਾ ਸਿੱਧਾ ਸੰਬੰਧ ਨਿਰਯਾਤ ਕੀਤੇ ਜਾ ਰਹੇ ਕਤਾਰਾਂ (ਲਰਨਰ ਰਿਕਾਰਡ) ਦੀ ਗਿਣਤੀ ਨਾਲ ਹੁੰਦਾ ਹੈ। ਅਸੀਂ ਤੁਹਾਡਾ ਧੰਨਵਾਦ ਕਰਦੇ ਹਾਂ।,Por favor espera mientras se exporta este informe. El tiempo tomado es usualmente directamente proporcional al número de filas (registros de estudiantes) que se están exportando. Agradecemos tu paciencia.,"Bitte warten Sie, während dieser Bericht exportiert wird. Die benötigte Zeit ist normalerweise direkt proportional zur Anzahl der exportierten Zeilen (Lerneraufzeichnungen). Wir schätzen Ihre Geduld.",このレポートがエクスポートされるのをお待ちください。所要時間は通常、エクスポートされる行（学習者記録）の数に比例します。ご理解いただきありがとうございます。,이 보고서가 내보내지는 동안 기다려 주세요. 소요 시간은 일반적으로 내보내는 행(학습자 기록)의 수에 비례합니다. 인내심에 감사드립니다.,"Будь ласка, зачекайте, поки цей звіт експортується. Час, що витрачається, зазвичай прямо пропорційний кількості рядків (записів учнів), що експортуються. Ми цінуємо ваше терпіння.",مهرباني وکړئ انتظار وکړئ ځکه چې دا راپور صادرېږي. د وخت اخیستل معمولا د صادرېدونکو قطارونو (زده کوونکي ریکارډونه) سره مستقیم تناسب لري. ستاسو د صبر څخه مننه.,请稍候，报告正在导出。所需时间通常与导出的行数（学习者记录）成正比。感谢您的耐心等待。
site.content.get_started,Get Started Now!,Get Started Now!,ابھی شروع کریں!,Începe acum!,همین حالا شروع کنید!,Commencez maintenant !,अभी शुरू करें!,ابدأ الآن!,ਹੁਣੇ ਸ਼ੁਰੂ ਕਰੋ!,¡Comienza Ahora!,Jetzt loslegen!,今すぐ始める！,지금 시작하세요!,Почніть зараз!,اوس پیل کړئ!,立即开始！
label.cancelsubscription.message,"You will not be able to access the contents of this course once you cancel this subscription. Do you wish to proceed? If yes, please let us know the reason","You will not be able to access the contents of this course once you cancel this subscription. Do you wish to proceed? If yes, please let us know the reason",آپ اس سبسکرپشن کو منسوخ کرنے کے بعد اس کورس کے مواد تک رسائی حاصل نہیں کر سکیں گے۔ کیا آپ آگے بڑھنا چاہتے ہیں؟ اگر ہاں، تو براہ کرم ہمیں وجہ بتائیں,"Nu veți putea accesa conținutul acestui curs odată ce anulați acest abonament. Doriți să continuați? Dacă da, vă rugăm să ne comunicați motivul.",شما پس از لغو این اشتراک قادر به دسترسی به محتوای این دوره نخواهید بود. آیا مایل به ادامه هستید؟ اگر بله، لطفاً دلیل آن را به ما اطلاع دهید.,"Vous ne pourrez pas accéder au contenu de ce cours une fois que vous aurez annulé cet abonnement. Souhaitez-vous continuer ? Si oui, veuillez nous indiquer la raison","इस सदस्यता को रद्द करने के बाद आप इस कोर्स की सामग्री का उपयोग नहीं कर पाएंगे। क्या आप आगे बढ़ना चाहते हैं? यदि हाँ, तो कृपया हमें कारण बताएं",لن تتمكن من الوصول إلى محتويات هذه الدورة بمجرد إلغاء هذا الاشتراك. هل ترغب في المتابعة؟ إذا كانت الإجابة نعم، يرجى إخبارنا بالسبب,"ਤੁਸੀਂ ਇਸ ਸਬਸਕ੍ਰਿਪਸ਼ਨ ਨੂੰ ਰੱਦ ਕਰਨ ਤੋਂ ਬਾਅਦ ਇਸ ਕੋਰਸ ਦੀ ਸਮੱਗਰੀ ਤੱਕ ਪਹੁੰਚ ਨਹੀਂ ਕਰ ਸਕੋਗੇ। ਕੀ ਤੁਸੀਂ ਅੱਗੇ ਵਧਣਾ ਚਾਹੁੰਦੇ ਹੋ? ਜੇ ਹਾਂ, ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਸਾਨੂੰ ਕਾਰਨ ਦੱਸੋ","No podrás acceder al contenido de este curso una vez que canceles esta suscripción. ¿Deseas proceder? Si es así, por favor háznoslo saber la razón","Sie können auf die Inhalte dieses Kurses nicht mehr zugreifen, sobald Sie dieses Abonnement kündigen. Möchten Sie fortfahren? Wenn ja, lassen Sie uns bitte den Grund wissen",このサブスクリプションをキャンセルすると、このコースの内容にアクセスできなくなります。続行しますか？もしそうなら、理由をお知らせください。,이 구독을 취소하면 이 코스의 내용을 더 이상 접근할 수 없습니다. 계속하시겠습니까? 그렇다면 이유를 알려주세요.,"Ви не зможете отримати доступ до вмісту цього курсу після скасування підписки. Бажаєте продовжити? Якщо так, будь ласка, повідомте нам причину",تاسو به د دې کورس منځپانګې ته لاسرسی ونلرئ کله چې تاسو دا ګډون لغوه کړئ. ایا تاسو غواړئ پرمخ لاړ شئ؟ که هو، مهرباني وکړئ موږ ته د دلیل خبر راکړئ,取消订阅后，您将无法访问本课程的内容。您确定要继续吗？如果是，请告知我们原因。
label.text.submit_assignment,Submit Assignment,Submit Assignment,اسائنمنٹ جمع کروائیں,Trimite Tema,ارسال تکلیف,Soumettre le devoir,असाइनमेंट जमा करें,تقديم الواجب,ਅਸਾਈਨਮੈਂਟ ਜਮ੍ਹਾਂ ਕਰੋ,Enviar Tarea,Aufgabe einreichen,課題を提出,과제 제출,Подати завдання,دنده وسپارئ,提交作业
global.status,Status,Status,حیثیت,Stare,وضعیت,Statut,स्थिति,الحالة,ਸਥਿਤੀ,Estado,Status,ステータス,상태,Статус,حالت,状态
pie.common.Community,Community,Community,کمیونٹی,Comunitate,اجتماع,Communauté,समुदाय,المجتمع,ਕਮਿਊਨਿਟੀ,Comunidad,Gemeinschaft,コミュニティ,커뮤니티,Спільнота,ټولنه,社区
pie.viewer.field_placeholder,Enter your {{fieldName}},Enter your {{fieldName}},اپنا {{fieldName}} درج کریں,Introduceți {{fieldName}} dumneavoastră,{{fieldName}} خود را وارد کنید,Entrez votre {{fieldName}},अपना {{fieldName}} दर्ज करें,أدخل {{fieldName}} الخاص بك,ਆਪਣਾ {{fieldName}} ਦਰਜ ਕਰੋ,Introduce tu {{fieldName}},Geben Sie Ihr {{fieldName}} ein,あなたの{{fieldName}}を入力してください,{{fieldName}}를 입력하세요.,Введіть ваш {{fieldName}},خپل {{fieldName}} دننه کړئ,请输入您的{{fieldName}}
label.register_to_enrol,Register for the session,Register for the session,سیشن کے لیے رجسٹر کریں,Înregistrează-te pentru sesiune.,برای جلسه ثبت‌نام کنید,Inscrivez-vous à la session,सत्र के लिए पंजीकरण करें,سجل للجلسة,ਸੈਸ਼ਨ ਲਈ ਰਜਿਸਟਰ ਕਰੋ,Regístrate para la sesión,Für die Sitzung registrieren,セッションに登録,세션 등록,Зареєструватися на сеанс,غونډې لپاره ثبت کړئ,注册参加会议
site.content.session.access,Access Session,Access Session,سیشن تک رسائی,Sesiune de acces,جلسه دسترسی,Accéder à la session,सत्र एक्सेस करें,الوصول إلى الجلسة,ਸੈਸ਼ਨ ਤੱਕ ਪਹੁੰਚ,Acceder a la Sesión,Sitzung betreten,セッションにアクセス,세션 액세스,Доступ до сеансу,غونډې ته لاسرسی,访问会话
pie.meta.2gb,2GB,2GB,2GB,2GB,۲ گیگابایت,2GB,2GB,2 جيجابايت,2GB,2GB,2GB,2GB,2GB,2ГБ,۲ جی بی,2GB
pie.course.ilc.batch_date_time,Batch date/time,Batch date/time,بیچ کی تاریخ/وقت,Data/ora lotului,تاریخ/زمان دسته‌بندی,Date/heure du groupe,बैच की तारीख/समय,تاريخ/وقت الدفعة,ਬੈਚ ਮਿਤੀ/ਸਮਾਂ,Fecha/hora del grupo,Chargendatum/-zeit,バッチの日付/時間,배치 날짜/시간,Дата/час групи,د ډلې نیټه/وخت,批次日期/时间
pie.course.cohort.purchase_another_slot.title,Confirm purchase another slot,Confirm purchase another slot,ایک اور سلاٹ خریدنے کی تصدیق کریں,Confirmă achiziția unui alt slot.,تأیید خرید یک جایگاه دیگر,Confirmer l'achat d'un autre créneau,दूसरा स्लॉट खरीद की पुष्टि करें,تأكيد شراء فتحة أخرى,ਹੋਰ ਸਲੌਟ ਖਰੀਦਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,Confirmar compra de otro espacio,Kauf eines weiteren Slots bestätigen,別のスロットの購入を確認,다른 슬롯 구매 확인,Підтвердити покупку іншого слота,بل ځای پیرود تایید کړئ,确认购买另一个槽位
